model_bucket,primary_drug_label,primary_pH_label,reference_manufacturer_label,manufacturer_label,manufacturer_pair,batch_pair,comparison_scope,repeat_group_base_key,repeat_group_model_key,replicate_count,complete_replicate_group,replicate_ids,replicate_1_verdict,replicate_2_verdict,replicate_3_verdict,replicate_1_path,replicate_2_path,replicate_3_path,consistency_status,consensus_verdict,same_count,different_count,unknown_count,potential_false_positive_count,potential_false_negative_count,potential_error_replicates,manual_review_flag
ChatGPT,硝苯地平控释片30mg,,拜新同,一品红,拜新同 vs 一品红,BJ86516 vs 302125001,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 一品红 || BJ86516 vs 302125001,硝苯地平控释片30mg || 拜新同 vs 一品红 || BJ86516 vs 302125001 || ChatGPT,1,0,1,same,,,chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs07-硝苯地平控释片30mg-一品红-302125001-Side-36h-750X-1-1.docx,,,insufficient,same,1,0,0,0,0,,1
GLM,硝苯地平控释片30mg,,拜新同,得欣通,拜新同 vs 得欣通,BJ86516 vs 2214250501,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 得欣通 || BJ86516 vs 2214250501,硝苯地平控释片30mg || 拜新同 vs 得欣通 || BJ86516 vs 2214250501 || GLM,3,1,"1,2,3",different,same,unknown,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__13-硝苯地平控释片30mg-得欣通-2214250501-Side-36h-750X-1__rep01/compare_answer.md,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__13-硝苯地平控释片30mg-得欣通-2214250501-Side-36h-750X-1__rep02/compare_answer.md,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__13-硝苯地平控释片30mg-得欣通-2214250501-Side-36h-750X-1__rep03/compare_answer.md,inconsistent,,1,1,1,0,0,,1
Kimi,硝苯地平控释片30mg,,拜新同,得欣通,拜新同 vs 得欣通,BJ86516 vs 2214250501,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 得欣通 || BJ86516 vs 2214250501,硝苯地平控释片30mg || 拜新同 vs 得欣通 || BJ86516 vs 2214250501 || Kimi,1,0,1,different,,,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__13-硝苯地平控释片30mg-得欣通-2214250501-Side-36h-750X-1__rep01/compare_answer.md,,,insufficient,different,0,1,0,0,0,,1
Qwen,硝苯地平控释片30mg,,拜新同,得欣通,拜新同 vs 得欣通,BJ86516 vs 2214250501,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 得欣通 || BJ86516 vs 2214250501,硝苯地平控释片30mg || 拜新同 vs 得欣通 || BJ86516 vs 2214250501 || Qwen,3,1,"1,2,3",different,different,same,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__13-硝苯地平控释片30mg-得欣通-2214250501-Side-36h-750X-1__rep01/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__13-硝苯地平控释片30mg-得欣通-2214250501-Side-36h-750X-1__rep02/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__13-硝苯地平控释片30mg-得欣通-2214250501-Side-36h-750X-1__rep03/compare_answer.md,inconsistent,different,1,2,0,1,0,3,1
ChatGPT,硝苯地平控释片30mg,,拜新同,拜新同,拜新同 vs 拜新同,BJ86516 vs BJ86516,same_manufacturer,硝苯地平控释片30mg || 拜新同 vs 拜新同 || BJ86516 vs BJ86516,硝苯地平控释片30mg || 拜新同 vs 拜新同 || BJ86516 vs BJ86516 || ChatGPT,1,0,1,same,,,chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1-1.docx,,,insufficient,same,1,0,0,0,0,,1
GLM,硝苯地平控释片30mg,,拜新同,拜新同,拜新同 vs 拜新同,BJ86516 vs BJ86516,same_manufacturer,硝苯地平控释片30mg || 拜新同 vs 拜新同 || BJ86516 vs BJ86516,硝苯地平控释片30mg || 拜新同 vs 拜新同 || BJ86516 vs BJ86516 || GLM,2,0,"1,3",unknown,,unknown,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__rep01/compare_answer.md,,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__rep03/compare_answer.md,insufficient,,0,0,2,0,0,,1
Kimi,硝苯地平控释片30mg,,拜新同,拜新同,拜新同 vs 拜新同,BJ86516 vs BJ86516,same_manufacturer,硝苯地平控释片30mg || 拜新同 vs 拜新同 || BJ86516 vs BJ86516,硝苯地平控释片30mg || 拜新同 vs 拜新同 || BJ86516 vs BJ86516 || Kimi,3,1,"1,2,3",unknown,same,same,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__rep01/compare_answer.md,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__rep02/compare_answer.md,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__rep03/compare_answer.md,consistent,same,2,0,1,0,0,,0
ChatGPT,硝苯地平控释片30mg,,拜新同,易释,拜新同 vs 易释,BJ86516 vs 2506K003,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 易释 || BJ86516 vs 2506K003,硝苯地平控释片30mg || 拜新同 vs 易释 || BJ86516 vs 2506K003 || ChatGPT,1,0,1,same,,,chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs02-硝苯地平控释片30mg-易释-2506K003-Side-36h-750X-1-1.docx,,,insufficient,same,1,0,0,0,0,,1
GLM,硝苯地平控释片30mg,,拜新同,易释,拜新同 vs 易释,BJ86516 vs 2506K003,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 易释 || BJ86516 vs 2506K003,硝苯地平控释片30mg || 拜新同 vs 易释 || BJ86516 vs 2506K003 || GLM,2,0,"1,3",unknown,,different,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__02-硝苯地平控释片30mg-易释-2506K003-Side-36h-750X-1__rep01/compare_answer.md,,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__02-硝苯地平控释片30mg-易释-2506K003-Side-36h-750X-1__rep03/compare_answer.md,insufficient,different,0,1,1,0,0,,1
Kimi,硝苯地平控释片30mg,,拜新同,易释,拜新同 vs 易释,BJ86516 vs 2506K003,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 易释 || BJ86516 vs 2506K003,硝苯地平控释片30mg || 拜新同 vs 易释 || BJ86516 vs 2506K003 || Kimi,3,1,"1,2,3",unknown,different,unknown,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__02-硝苯地平控释片30mg-易释-2506K003-Side-36h-750X-1__rep01/compare_answer.md,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__02-硝苯地平控释片30mg-易释-2506K003-Side-36h-750X-1__rep02/compare_report.docx,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__02-硝苯地平控释片30mg-易释-2506K003-Side-36h-750X-1__rep03/compare_report.docx,insufficient,different,0,1,2,0,0,,1
Qwen,硝苯地平控释片30mg,,拜新同,易释,拜新同 vs 易释,BJ86516 vs 2506K003,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 易释 || BJ86516 vs 2506K003,硝苯地平控释片30mg || 拜新同 vs 易释 || BJ86516 vs 2506K003 || Qwen,3,1,"1,2,3",same,different,different,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__02-硝苯地平控释片30mg-易释-2506K003-Side-36h-750X-1__rep01/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__02-硝苯地平控释片30mg-易释-2506K003-Side-36h-750X-1__rep02/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__02-硝苯地平控释片30mg-易释-2506K003-Side-36h-750X-1__rep03/compare_answer.md,inconsistent,different,1,2,0,1,0,1,1
ChatGPT,硝苯地平控释片30mg,,拜新同,欣然,拜新同 vs 欣然,BJ86516 vs 25053401,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 欣然 || BJ86516 vs 25053401,硝苯地平控释片30mg || 拜新同 vs 欣然 || BJ86516 vs 25053401 || ChatGPT,1,0,1,different,,,chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs08-硝苯地平控释片30mg-欣然-25053401-Side-36h-750X-1-1.docx,,,insufficient,different,0,1,0,0,0,,1
GLM,硝苯地平控释片30mg,,拜新同,欣然,拜新同 vs 欣然,BJ86516 vs 25053401,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 欣然 || BJ86516 vs 25053401,硝苯地平控释片30mg || 拜新同 vs 欣然 || BJ86516 vs 25053401 || GLM,3,1,"1,2,3",unknown,different,different,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__08-硝苯地平控释片30mg-欣然-25053401-Side-36h-750X-1__rep01/compare_answer.md,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__08-硝苯地平控释片30mg-欣然-25053401-Side-36h-750X-1__rep02/compare_answer.md,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__08-硝苯地平控释片30mg-欣然-25053401-Side-36h-750X-1__rep03/compare_answer.md,consistent,different,0,2,1,0,0,,0
Kimi,硝苯地平控释片30mg,,拜新同,欣然,拜新同 vs 欣然,BJ86516 vs 25053401,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 欣然 || BJ86516 vs 25053401,硝苯地平控释片30mg || 拜新同 vs 欣然 || BJ86516 vs 25053401 || Kimi,1,0,1,unknown,,,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__08-硝苯地平控释片30mg-欣然-25053401-Side-36h-750X-1__rep01/compare_answer.md,,,insufficient,,0,0,1,0,0,,1
Qwen,硝苯地平控释片30mg,,拜新同,欣然,拜新同 vs 欣然,BJ86516 vs 25053401,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 欣然 || BJ86516 vs 25053401,硝苯地平控释片30mg || 拜新同 vs 欣然 || BJ86516 vs 25053401 || Qwen,3,1,"1,2,3",different,same,different,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__08-硝苯地平控释片30mg-欣然-25053401-Side-36h-750X-1__rep01/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__08-硝苯地平控释片30mg-欣然-25053401-Side-36h-750X-1__rep02/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__08-硝苯地平控释片30mg-欣然-25053401-Side-36h-750X-1__rep03/compare_answer.md,inconsistent,different,1,2,0,1,0,2,1
ChatGPT,硝苯地平控释片30mg,,拜新同,欣适平,拜新同 vs 欣适平,BJ86516 vs 58,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 欣适平 || BJ86516 vs 58,硝苯地平控释片30mg || 拜新同 vs 欣适平 || BJ86516 vs 58 || ChatGPT,1,0,1,same,,,chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs04-硝苯地平控释片30mg-欣适平-58-240203-Side-36h-750X-1-1.docx,,,insufficient,same,1,0,0,0,0,,1
GLM,硝苯地平控释片30mg,,拜新同,欣适平,拜新同 vs 欣适平,BJ86516 vs 58,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 欣适平 || BJ86516 vs 58,硝苯地平控释片30mg || 拜新同 vs 欣适平 || BJ86516 vs 58 || GLM,3,1,"1,2,3",different,different,different,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__04-硝苯地平控释片30mg-欣适平-58-240203-Side-36h-750X-1__rep01/compare_answer.md,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__04-硝苯地平控释片30mg-欣适平-58-240203-Side-36h-750X-1__rep02/compare_answer.md,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__04-硝苯地平控释片30mg-欣适平-58-240203-Side-36h-750X-1__rep03/compare_answer.md,consistent,different,0,3,0,0,0,,0
Kimi,硝苯地平控释片30mg,,拜新同,欣适平,拜新同 vs 欣适平,BJ86516 vs 58,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 欣适平 || BJ86516 vs 58,硝苯地平控释片30mg || 拜新同 vs 欣适平 || BJ86516 vs 58 || Kimi,1,0,2,,different,,,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__04-硝苯地平控释片30mg-欣适平-58-240203-Side-36h-750X-1__rep02/compare_answer.md,,insufficient,different,0,1,0,0,0,,1
Qwen,硝苯地平控释片30mg,,拜新同,欣适平,拜新同 vs 欣适平,BJ86516 vs 58,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 欣适平 || BJ86516 vs 58,硝苯地平控释片30mg || 拜新同 vs 欣适平 || BJ86516 vs 58 || Qwen,3,1,"1,2,3",different,different,different,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__04-硝苯地平控释片30mg-欣适平-58-240203-Side-36h-750X-1__rep01/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__04-硝苯地平控释片30mg-欣适平-58-240203-Side-36h-750X-1__rep02/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__04-硝苯地平控释片30mg-欣适平-58-240203-Side-36h-750X-1__rep03/compare_answer.md,consistent,different,0,3,0,0,0,,0
ChatGPT,硝苯地平控释片30mg,,拜新同,立方,拜新同 vs 立方,BJ86516 vs 2503501,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 立方 || BJ86516 vs 2503501,硝苯地平控释片30mg || 拜新同 vs 立方 || BJ86516 vs 2503501 || ChatGPT,1,0,1,same,,,chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs06-硝苯地平控释片30mg-立方-2503501-Side-36h-750X-1-1.docx,,,insufficient,same,1,0,0,0,0,,1
GLM,硝苯地平控释片30mg,,拜新同,立方,拜新同 vs 立方,BJ86516 vs 2503501,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 立方 || BJ86516 vs 2503501,硝苯地平控释片30mg || 拜新同 vs 立方 || BJ86516 vs 2503501 || GLM,3,1,"1,2,3",unknown,unknown,different,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__06-硝苯地平控释片30mg-立方-2503501-Side-36h-750X-1__rep01/compare_answer.md,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__06-硝苯地平控释片30mg-立方-2503501-Side-36h-750X-1__rep02/compare_answer.md,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__06-硝苯地平控释片30mg-立方-2503501-Side-36h-750X-1__rep03/compare_answer.md,insufficient,different,0,1,2,0,0,,1
Kimi,硝苯地平控释片30mg,,拜新同,立方,拜新同 vs 立方,BJ86516 vs 2503501,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 立方 || BJ86516 vs 2503501,硝苯地平控释片30mg || 拜新同 vs 立方 || BJ86516 vs 2503501 || Kimi,3,1,"1,2,3",same,different,different,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__06-硝苯地平控释片30mg-立方-2503501-Side-36h-750X-1__rep01/compare_answer.md,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__06-硝苯地平控释片30mg-立方-2503501-Side-36h-750X-1__rep02/compare_answer.md,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__06-硝苯地平控释片30mg-立方-2503501-Side-36h-750X-1__rep03/compare_answer.md,inconsistent,different,1,2,0,1,0,1,1
Qwen,硝苯地平控释片30mg,,拜新同,立方,拜新同 vs 立方,BJ86516 vs 2503501,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 立方 || BJ86516 vs 2503501,硝苯地平控释片30mg || 拜新同 vs 立方 || BJ86516 vs 2503501 || Qwen,3,1,"1,2,3",different,same,different,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__06-硝苯地平控释片30mg-立方-2503501-Side-36h-750X-1__rep01/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__06-硝苯地平控释片30mg-立方-2503501-Side-36h-750X-1__rep02/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__06-硝苯地平控释片30mg-立方-2503501-Side-36h-750X-1__rep03/compare_answer.md,inconsistent,different,1,2,0,1,0,2,1
ChatGPT,硝苯地平控释片30mg,,拜新同,贝奇康,拜新同 vs 贝奇康,BJ86516 vs 2406601,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 贝奇康 || BJ86516 vs 2406601,硝苯地平控释片30mg || 拜新同 vs 贝奇康 || BJ86516 vs 2406601 || ChatGPT,1,0,1,same,,,chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs11-硝苯地平控释片30mg-贝奇康-2406601-Side-36h-750X-1-1.docx,,,insufficient,same,1,0,0,0,0,,1
GLM,硝苯地平控释片30mg,,拜新同,贝奇康,拜新同 vs 贝奇康,BJ86516 vs 2406601,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 贝奇康 || BJ86516 vs 2406601,硝苯地平控释片30mg || 拜新同 vs 贝奇康 || BJ86516 vs 2406601 || GLM,3,1,"1,2,3",unknown,unknown,same,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__11-硝苯地平控释片30mg-贝奇康-2406601-Side-36h-750X-1__rep01/compare_answer.md,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__11-硝苯地平控释片30mg-贝奇康-2406601-Side-36h-750X-1__rep02/compare_answer.md,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__11-硝苯地平控释片30mg-贝奇康-2406601-Side-36h-750X-1__rep03/compare_answer.md,insufficient,same,1,0,2,0,0,,1
Kimi,硝苯地平控释片30mg,,拜新同,贝奇康,拜新同 vs 贝奇康,BJ86516 vs 2406601,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 贝奇康 || BJ86516 vs 2406601,硝苯地平控释片30mg || 拜新同 vs 贝奇康 || BJ86516 vs 2406601 || Kimi,2,0,"2,3",,different,same,,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__11-硝苯地平控释片30mg-贝奇康-2406601-Side-36h-750X-1__rep02/compare_answer.md,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__11-硝苯地平控释片30mg-贝奇康-2406601-Side-36h-750X-1__rep03/compare_answer.md,inconsistent,,1,1,0,0,0,,1
Qwen,硝苯地平控释片30mg,,拜新同,贝奇康,拜新同 vs 贝奇康,BJ86516 vs 2406601,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 贝奇康 || BJ86516 vs 2406601,硝苯地平控释片30mg || 拜新同 vs 贝奇康 || BJ86516 vs 2406601 || Qwen,3,1,"1,2,3",same,same,different,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__11-硝苯地平控释片30mg-贝奇康-2406601-Side-36h-750X-1__rep01/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__11-硝苯地平控释片30mg-贝奇康-2406601-Side-36h-750X-1__rep02/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__11-硝苯地平控释片30mg-贝奇康-2406601-Side-36h-750X-1__rep03/compare_answer.md,inconsistent,same,2,1,0,0,1,3,1
ChatGPT,硝苯地平控释片30mg,,拜新同,赛新同,拜新同 vs 赛新同,BJ86516 vs 12401091,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 赛新同 || BJ86516 vs 12401091,硝苯地平控释片30mg || 拜新同 vs 赛新同 || BJ86516 vs 12401091 || ChatGPT,1,0,1,same,,,chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs14-硝苯地平控释片30mg-赛新同-12401091-Side-36h-750X-1-1.docx,,,insufficient,same,1,0,0,0,0,,1
GLM,硝苯地平控释片30mg,,拜新同,赛新同,拜新同 vs 赛新同,BJ86516 vs 12401091,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 赛新同 || BJ86516 vs 12401091,硝苯地平控释片30mg || 拜新同 vs 赛新同 || BJ86516 vs 12401091 || GLM,3,1,"1,2,3",same,unknown,unknown,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__14-硝苯地平控释片30mg-赛新同-12401091-Side-36h-750X-1__rep01/compare_answer.md,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__14-硝苯地平控释片30mg-赛新同-12401091-Side-36h-750X-1__rep02/compare_answer.md,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__14-硝苯地平控释片30mg-赛新同-12401091-Side-36h-750X-1__rep03/compare_answer.md,insufficient,same,1,0,2,0,0,,1
Kimi,硝苯地平控释片30mg,,拜新同,赛新同,拜新同 vs 赛新同,BJ86516 vs 12401091,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 赛新同 || BJ86516 vs 12401091,硝苯地平控释片30mg || 拜新同 vs 赛新同 || BJ86516 vs 12401091 || Kimi,3,1,"1,2,3",same,different,same,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__14-硝苯地平控释片30mg-赛新同-12401091-Side-36h-750X-1__rep01/compare_answer.md,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__14-硝苯地平控释片30mg-赛新同-12401091-Side-36h-750X-1__rep02/compare_answer.md,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__14-硝苯地平控释片30mg-赛新同-12401091-Side-36h-750X-1__rep03/compare_answer.md,inconsistent,same,2,1,0,0,1,2,1
Qwen,硝苯地平控释片30mg,,拜新同,赛新同,拜新同 vs 赛新同,BJ86516 vs 12401091,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 赛新同 || BJ86516 vs 12401091,硝苯地平控释片30mg || 拜新同 vs 赛新同 || BJ86516 vs 12401091 || Qwen,3,1,"1,2,3",same,different,different,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__14-硝苯地平控释片30mg-赛新同-12401091-Side-36h-750X-1__rep01/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__14-硝苯地平控释片30mg-赛新同-12401091-Side-36h-750X-1__rep02/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__14-硝苯地平控释片30mg-赛新同-12401091-Side-36h-750X-1__rep03/compare_answer.md,inconsistent,different,1,2,0,1,0,1,1
